A	CreditItems	CreditContents														
A	Title	Kodamadeshouka														
A	Music by	ToyScore														
A	Music source	https://www.toyscore.app														
A	Music license	CC BY-SA 4.0														
A	Music license URI	https://creativecommons.org/licenses/by-sa/4.0/														
A	Music change	None														
A	Lyrics by	Misuzu Kaneko														
A	Lyrics source	https://www.jula.co.jp/book/book-106/														
A	Lyrics license	Used with permission by Preservation Association of Misuzu Kaneko's Works														
A	Lyrics license URI	https://www.jula.co.jp/misuzu/hozonkai/														
A	Lyrics change	None														
A	Disclaimer	No warranties are given.														
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3		
B	1	3				a	あ				1	あ	あす	ごめ		
B	2	4				su	す					す	ば	ん		
B	3	5				bou	ぼう					ぼう	ない	ね		
B	4	3				tte	って					って	って	って		
B	5	2				iu	いう					いう	いう	いう		
B	6	5				to	と					と	と	と		
B	7	1				a	あ					あ	あす	ごめ		
B	8	4				su	す					す	ば	ん		
B	9	5				bou	ぼう					ぼう	ない	ね		
B	10	3				tte	って					って	って	って		
B	11	2				iu	いう					いう	いう	いう		
B	12	1				ba	ば					ば	そう	こ		
B	13	3				-	-					-	し	だ		
B	14	4				ka	か					か	て	ま		
B	15	2				tte	って					って	あ	で		
B	16	1				iu	いう					いう	と	しょう		
B	17	4				to	と					と	で	か		
B	18	1				ba	ば					ば	さ	いい		
B	19	2				-	-					か	み	え		
B	20	3				ka	か					っ	し	だ		
B	21	1				tte	って					て	く	れ		
B	22	3				iu	いう					いう	な	で		
B	23	2				mou	もう					もう	って	も		
B	24	3				asu	あす									
B	25	4				ba	ば									
B	26	5				nai	ない									
B	27	3				tte	って									
B	28	2				iu	いう									
B	29	5				to	と									
B	30	1				asu	あす									
B	31	4				ba	ば									
B	32	5				nai	ない									
B	33	3				tte	って									
B	34	2				iu	いう									
B	35	1				sou	そう									
B	36	3				shi	し									
B	37	4				te	て									
B	38	2				a	あ									
B	39	1				to	と									
B	40	4				de	で									
B	41	1				sa	さ									
B	42	2				mi	み									
B	43	3				shi	し									
B	44	1				ku	く									
B	45	3				na	な									
B	46	2				tte	って									
B	47	3				gome	ごめ									
B	48	4				n	ん									
B	49	5				ne	ね									
B	50	3				tte	って									
B	51	2				iu	いう									
B	52	5				to	と									
B	53	1				gome	ごめ									
B	54	4				n	ん									
B	55	5				ne	ね									
B	56	3				tte	って									
B	57	2				iu	いう									
B	58	1				ko	こ									
B	59	3				da	だ									
B	60	4				ma	ま									
B	61	2				de	で									
B	62	1				shou	しょう									
B	63	3				ka	か									
B	64	5				ii	いい									
B	65	1				e	え									
B	66	2				da	だ									
B	67	1				re	れ									
B	68	2				de	で									
B	69	1				mo	も									
B	70															
B	71															
B	72															
B	73															
B	74															
B	75															
B	76															
B	77															
B	78															
B	79															
B	80															
B	81															
B	82															
B	83															
B	84															
B	85										3					
B	86															
B	87															
B	88															
B	89															
B	90															
B	91															
B	92															
B	93															
B	94															
B	95															
B	96															
B	97															
B	98															
B	99															
B	100															
B	101															
B	102															
B	103															
B	104															
B	105															
B	106															
B	107															
B	108															
B	109															
B	110															
B	111															
B	112															
B	113															
B	114															
B	115															
B	116															
B	117															
B	118															
B	119															
B	120															
B	121															
B	122															
B	123															
B	124															
B	125															
B	126															
B	127										4					
B	128															
B	129															
B	130															
B	131															
B	132															
B	133															
B	134															
B	135															
B	136															
B	137															
B	138															
B	139															
B	140															
B	141															
B	142															
B	143															
B	144															
B	145															
B	146															
B	147															
B	148															
B	149															
B	150															
B	151															
B	152															
B	153															
B	154															
B	155															
B	156															
B	157															
B	158															
B	159															
B	160															
B	161															
B	162															
B	163															
B	164															
B	165															
B	166															
B	167															
B	168															
B	169										5					
B	170															
B	171															
B	172															
B	173															
B	174															
B	175															
B	176															
B	177															
B	178															
B	179															
B	180															
B	181															
B	182															
B	183															
B	184															
B	185															
B	186															
B	187															
B	188															
B	189															
B	190															
B	191															
B	192															
B	193															
B	194															
B	195															
B	196															
B	197															
B	198															
B	199															
B	200															
B	201															
B	202															
B	203															
B	204															
B	205															
B	206															
B	207															
B	208															
B	209															
B	210															
